schedDate,time,session,,,,,,
Thursday 11/21,8:00 AM - 9:00 AM,Registration & Breakfast,,,,,,
Thursday 11/21,9:00 AM – 9:45 AM,Keynote: Annual Report on the CMMC Ecosystem ,,,,,,
Thursday 11/21,9:50 AM – 10:25 AM ,Contracting Officer & General Counsel Perspectives on CMMC Supply Chain Security,,,,,,
Thursday 11/21,10:40 AM – 11:25 AM,The NOW and the FUTURE of CMMC,,,,,,
Thursday 11/21,11:30 AM – 12:15 PM ,Competitive Advantage Through Cybersecurity,,,,,,
Thursday 11/21,12:30 PM – 1:30 PM,Patriot's Lunch Session,,,,,,
Thursday 11/21,2:00 PM - 3:00 PM,12 Steps to Compliance | Deep Dive on Two Controls | Practice Management That Works,,,,,,
Thursday 11/21,3:30 PM - 4:30 PM,"Documentation - Too Much, Too Little and Just Right | Comuunicating with Your Client | The Real Threats in 2024",,,,,,
Friday 11/22,8:00 AM - 9:00 AM,Registration & Breakfast,,,,,,
Friday 11/22,9:00 AM - 10:00 AM,"Outsourcing CMMC Ressponsibilities | ESP Participation by Control | AI -The Scary, The Useful and The Wrong",,,,,,
Friday 11/22,10:45 AM - 11:45 AM,Building a Culture of Evidence | CUI- Comply or Die | Inheritance and SRMs,,,,,,
Friday 11/22,12:30 PM - 1:30 PM,Defender's Lunch Session,,,,,,
Friday 11/22,1:45 PM - 2:30 PM,Mock Assessment,,,,,,